,age,dependents,occupation,customer_nw_category,current_balance,current_month_credit,previous_month_credit,churn,gender_Female,gender_Male
0,66,0,2,1,1458.71,0.2,0.2,0,0,1
1,35,0,2,1,5390.37,0.56,0.56,0,0,1
2,31,0,1,1,3913.16,0.61,0.61,0,0,1
3,90,0,2,1,2291.91,0.47,0.47,1,0,1
4,42,1,2,0,927.72,0.33,714.61,1,0,1
5,42,0,2,1,15202.2,0.36,0.36,0,1,0
6,72,0,4,3,7006.93,0.64,0.64,0,0,1
7,46,0,2,1,10096.58,0.27,0.27,0,0,1
8,31,0,1,1,1355.86,714.51,121.09,0,0,1
9,40,1,2,1,4957.95,6912.29,4206.13,0,0,1
10,68,0,4,0,1928.76,443.4,0.54,0,0,1
11,32,0,1,3,6886.4,7564.53,4550.24,0,0,1
12,73,0,4,0,554.38,0.33,500.33,1,0,1
13,50,0,1,3,4548.48,0.61,0.61,0,0,1
14,48,0,2,1,5431.42,0.66,661.73,1,1,0
15,51,0,2,0,2010.98,0.16,0.16,0,1,0
16,49,0,2,0,1448.49,190.71,113.64,1,0,1
17,52,0,2,1,5292.13,3916.91,0.27,0,1,0
18,47,1,2,3,3507.71,0.56,0.56,0,1,0
19,41,0,2,1,3042.7,0.3,1986.01,1,1,0
20,45,0,2,1,2.18,79.79,70.73,1,0,1
21,29,0,2,1,4792.6,0.47,0.47,1,1,0
22,41,0,2,1,8358.47,643.24,0.39,0,1,0
23,34,0,2,1,2497.52,2072.09,0.66,0,0,1
24,48,1,1,1,2596.21,0.6,12.45,1,0,1
25,76,0,2,0,14289.26,0.64,0.64,0,0,1
26,36,1,2,3,20273.43,7.83,722.68,0,0,1
27,56,0,2,0,7111.29,143.26,0.4,0,0,1
28,55,0,2,3,6424.46,63.9,18898.87,0,0,1
29,33,0,1,1,6152.67,0.11,0.11,0,1,0
30,66,0,4,3,972.57,18598.44,0.57,1,0,1
31,64,0,4,3,10701.32,0.16,8454.72,0,1,0
32,54,0,2,1,3294.42,0.36,0.36,0,0,1
33,90,0,2,0,1210.46,0.2,0.2,0,0,1
34,9,0,0,1,4065.35,0.34,0.34,0,0,1
35,52,1,2,1,7613.61,0.19,0.19,0,0,1
36,51,0,2,1,226.9,37471.69,3275.63,0,0,1
37,54,1,2,1,1436.71,0.44,0.44,0,0,1
38,47,0,2,1,5575.95,357.8,0.66,0,0,1
39,34,0,1,0,3295.17,0.43,0.43,0,0,1
40,69,0,4,1,13148.58,423.47,0.61,0,0,1
41,90,0,2,0,7870.87,0.23,0.23,0,0,1
42,44,0,2,1,2021.8,2.76,465.73,1,1,0
43,55,0,2,3,2899.7,0.27,0.27,0,1,0
44,17,0,0,1,849.37,0.01,1216.86,0,1,0
45,48,1,2,1,6792.03,16642.73,10147.4,0,0,1
46,41,0,2,1,1540.21,1428.73,7828.73,0,0,1
47,4,0,0,0,5717.13,0.1,0.1,0,0,1
48,52,1,2,1,3854.44,1428.76,1428.76,1,0,1
49,30,0,2,1,3585.62,3260.71,0.67,1,1,0
50,45,0,2,1,9885.21,0.17,0.17,0,1,0
51,43,0,1,0,4474.38,0.51,0.51,0,0,1
52,65,0,2,1,1443.95,328.86,328.86,0,0,1
53,34,0,2,0,21252.86,782.48,0.47,0,0,1
54,51,0,2,1,894.72,487.46,487.46,0,1,0
55,72,0,2,0,1499.55,0.31,0.31,0,1,0
56,44,0,2,0,91.47,957.8,1429.23,1,0,1
57,19,0,0,1,2788.4,1022.96,0.54,0,1,0
58,43,0,2,0,3365.16,1429.27,714.99,0,1,0
59,49,1,2,1,3373.21,0.54,0.54,0,0,1
60,68,0,2,1,4091.66,0.2,0.2,0,1,0
61,45,0,1,1,12039.77,342.91,285.77,0,0,1
62,45,0,2,1,6036.9,947.69,947.69,0,1,0
63,13,0,0,0,6926.41,2202.39,1500.53,0,0,1
64,67,1,2,1,1578.21,41.06,809.42,0,0,1
65,76,0,2,1,1050.3,1498.99,5857.4,0,1,0
66,60,1,2,1,5065.29,65.8,65.8,0,0,1
67,79,0,2,1,15942.78,604.96,487.74,0,1,0
68,21,0,0,3,7151.46,0.4,0.4,0,0,1
69,57,1,2,1,27970.63,5970.89,14968.34,0,0,1
70,27,1,2,1,431.67,0.37,5714.66,1,0,1
71,71,0,4,3,4330.29,628.73,0.16,0,0,1
72,47,1,2,3,11902.1,9490.71,40227.94,0,0,1
73,61,0,1,0,2662.21,143.46,183.14,0,0,1
74,70,0,1,3,54686.7,53551.68,1804.39,0,0,1
75,26,0,2,0,2585.29,571.57,0.14,0,1,0
76,41,0,2,0,6209.34,298.6,1515.79,0,0,1
77,32,0,1,3,39462.27,6904.7,7065.39,0,0,1
78,55,1,1,1,4587.28,6019.98,8614.97,0,0,1
79,58,1,1,1,2335.05,142.97,0.11,0,0,1
80,40,0,2,0,9931.34,0.4,0.4,0,1,0
81,65,0,3,0,3379.75,10165.1,15515.99,0,0,1
82,63,0,2,1,11636.85,242.66,281.03,0,1,0
83,26,0,2,0,483.52,0.3,0.3,1,0,1
84,58,0,2,3,10088.96,1640.74,6.91,0,0,1
85,33,0,2,1,3537.16,471.97,1386.26,0,0,1
86,53,0,1,0,12913.08,0.16,4285.87,0,0,1
87,19,0,2,3,3144.56,0.01,0.01,0,1,0
88,35,0,1,0,2870.63,0.29,0.29,0,0,1
89,41,0,2,1,3185.72,0.67,0.67,0,0,1
90,36,1,2,3,6785.6,0.3,0.91,0,0,1
91,30,0,1,1,3122.27,0.47,0.47,0,0,1
92,29,0,1,1,9013.52,0.17,0.17,0,1,0
93,74,0,4,1,2227.37,0.27,0.27,0,0,1
94,67,0,1,1,20741.22,2780.11,2555.04,0,1,0
95,26,0,2,0,1454.24,0.34,1085.49,1,0,1
96,32,0,2,0,2429.18,0.14,0.14,1,1,0
97,71,0,4,0,2460.94,0.29,0.29,0,0,1
98,56,0,2,1,22437.57,0.39,14643.24,0,1,0
99,43,1,2,1,10152.97,11928.66,22783.16,0,0,1
100,90,0,2,1,8215.16,0.23,0.23,0,1,0
101,48,0,2,1,2617.87,554.89,554.89,0,0,1
102,72,0,2,0,503.68,4571.66,40000.23,1,1,0
103,75,0,2,1,1555.37,0.6,814.89,1,0,1
104,70,1,2,1,8191.35,12291.5,3.27,0,0,1
105,43,1,2,0,2859.86,9214.61,5000.33,0,0,1
106,39,0,2,0,8125.81,0.01,0.01,0,1,0
107,34,0,2,0,2597.77,0.17,0.17,0,0,1
108,49,0,2,0,1694.84,0.56,0.56,1,1,0
109,38,0,2,0,1792.97,0.33,0.33,1,0,1
110,43,0,1,0,2488.77,0.66,0.66,0,1,0
111,36,0,2,0,9572.43,13.66,29.75,0,0,1
112,62,0,2,1,16969.05,41.39,257.7,0,1,0
113,54,0,1,0,909.84,1544.86,142.97,0,0,1
114,39,0,2,1,10864.4,0.01,0.01,0,0,1
115,10,0,0,0,107.99,0.57,0.57,1,1,0
116,67,0,2,1,1515.7,0.16,0.16,0,0,1
117,48,1,1,3,1905.79,1680.43,446.64,0,0,1
118,56,0,2,3,70.97,1386.34,29668.13,1,0,1
119,65,1,4,0,5945.69,30.17,29.66,0,0,1
120,40,1,0,1,1100.97,0.47,0.47,1,0,1
121,66,1,4,3,20452.17,382.8,5910.64,1,0,1
122,37,0,2,1,3097.47,0.34,0.34,1,1,0
123,58,1,2,1,2123.8,2417.34,464.49,0,1,0
124,68,0,4,0,2101.47,0.27,0.27,0,0,1
