,age,gender,dependents,occupation,customer_nw_category,current_balance,current_month_credit,previous_month_credit,churn
0,66,Male,0,self_employed,2,1458.71,0.2,0.2,0
1,35,Male,0,self_employed,2,5390.37,0.56,0.56,0
2,31,Male,0,salaried,2,3913.16,0.61,0.61,0
3,90,Male,0,self_employed,2,2291.91,0.47,0.47,1
4,42,Male,1,self_employed,3,927.72,0.33,714.61,1
5,42,Female,0,self_employed,2,15202.2,0.36,0.36,0
6,72,Male,0,retired,1,7006.93,0.64,0.64,0
7,46,Male,0,self_employed,2,10096.58,0.27,0.27,0
8,31,Male,0,salaried,2,1355.86,714.51,121.09,0
9,40,Male,1,self_employed,2,4957.95,6912.29,4206.13,0
10,68,Male,0,retired,3,1928.76,443.4,0.54,0
11,32,Male,0,salaried,1,6886.4,7564.53,4550.24,0
12,73,Male,0,retired,3,554.38,0.33,500.33,1
13,50,Male,0,salaried,1,4548.48,0.61,0.61,0
14,48,Female,0,self_employed,2,5431.42,0.66,661.73,1
15,51,Female,0,self_employed,3,2010.98,0.16,0.16,0
16,49,Male,0,self_employed,3,1448.49,190.71,113.64,1
17,52,Female,0,self_employed,2,5292.13,3916.91,0.27,0
18,47,Female,1,self_employed,1,3507.71,0.56,0.56,0
19,41,Female,0,self_employed,2,3042.7,0.3,1986.01,1
20,45,Male,0,self_employed,2,2.18,79.79,70.73,1
21,29,Female,0,self_employed,2,4792.6,0.47,0.47,1
22,41,Female,0,self_employed,2,8358.47,643.24,0.39,0
23,34,Male,0,self_employed,2,2497.52,2072.09,0.66,0
24,48,Male,1,salaried,2,2596.21,0.6,12.45,1
25,76,Male,0,self_employed,3,14289.26,0.64,0.64,0
26,36,Male,1,self_employed,1,20273.43,7.83,722.68,0
27,56,Male,0,self_employed,3,7111.29,143.26,0.4,0
28,55,Male,0,self_employed,1,6424.46,63.9,18898.87,0
29,33,Female,0,salaried,2,6152.67,0.11,0.11,0
30,66,Male,0,retired,1,972.57,18598.44,0.57,1
31,64,Female,0,retired,1,10701.32,0.16,8454.72,0
32,54,Male,0,self_employed,2,3294.42,0.36,0.36,0
33,90,Male,0,self_employed,3,1210.46,0.2,0.2,0
34,9,Male,0,student,2,4065.35,0.34,0.34,0
35,52,Male,1,self_employed,2,7613.61,0.19,0.19,0
36,51,Male,0,self_employed,2,226.9,37471.69,3275.63,0
37,54,Male,1,self_employed,2,1436.71,0.44,0.44,0
38,47,Male,0,self_employed,2,5575.95,357.8,0.66,0
39,34,Male,0,salaried,3,3295.17,0.43,0.43,0
40,69,Male,0,retired,2,13148.58,423.47,0.61,0
41,90,Male,0,self_employed,3,7870.87,0.23,0.23,0
42,44,Female,0,self_employed,2,2021.8,2.76,465.73,1
43,55,Female,0,self_employed,1,2899.7,0.27,0.27,0
44,17,Female,0,student,2,849.37,0.01,1216.86,0
45,48,Male,1,self_employed,2,6792.03,16642.73,10147.4,0
46,41,Male,0,self_employed,2,1540.21,1428.73,7828.73,0
47,4,Male,0,student,3,5717.13,0.1,0.1,0
48,52,Male,1,self_employed,2,3854.44,1428.76,1428.76,1
49,30,Female,0,self_employed,2,3585.62,3260.71,0.67,1
50,45,Female,0,self_employed,2,9885.21,0.17,0.17,0
51,43,Male,0,salaried,3,4474.38,0.51,0.51,0
52,65,Male,0,self_employed,2,1443.95,328.86,328.86,0
53,34,Male,0,self_employed,3,21252.86,782.48,0.47,0
54,51,Female,0,self_employed,2,894.72,487.46,487.46,0
55,72,Female,0,self_employed,3,1499.55,0.31,0.31,0
56,44,Male,0,self_employed,3,91.47,957.8,1429.23,1
57,19,Female,0,student,2,2788.4,1022.96,0.54,0
58,43,Female,0,self_employed,3,3365.16,1429.27,714.99,0
59,49,Male,1,self_employed,2,3373.21,0.54,0.54,0
60,68,Female,0,self_employed,2,4091.66,0.2,0.2,0
61,45,Male,0,salaried,2,12039.77,342.91,285.77,0
62,45,Female,0,self_employed,2,6036.9,947.69,947.69,0
63,13,Male,0,student,3,6926.41,2202.39,1500.53,0
64,67,Male,1,self_employed,2,1578.21,41.06,809.42,0
65,76,Female,0,self_employed,2,1050.3,1498.99,5857.4,0
66,60,Male,1,self_employed,2,5065.29,65.8,65.8,0
67,79,Female,0,self_employed,2,15942.78,604.96,487.74,0
68,21,Male,0,student,1,7151.46,0.4,0.4,0
69,57,Male,1,self_employed,2,27970.63,5970.89,14968.34,0
70,27,Male,1,self_employed,2,431.67,0.37,5714.66,1
71,71,Male,0,retired,1,4330.29,628.73,0.16,0
72,47,Male,1,self_employed,1,11902.1,9490.71,40227.94,0
73,61,Male,0,salaried,3,2662.21,143.46,183.14,0
74,70,Male,0,salaried,1,54686.7,53551.68,1804.39,0
75,26,Female,0,self_employed,3,2585.29,571.57,0.14,0
76,41,Male,0,self_employed,3,6209.34,298.6,1515.79,0
77,32,Male,0,salaried,1,39462.27,6904.7,7065.39,0
78,55,Male,1,salaried,2,4587.28,6019.98,8614.97,0
79,58,Male,1,salaried,2,2335.05,142.97,0.11,0
80,40,Female,0,self_employed,3,9931.34,0.4,0.4,0
81,65,Male,0,company,3,3379.75,10165.1,15515.99,0
82,63,Female,0,self_employed,2,11636.85,242.66,281.03,0
83,26,Male,0,self_employed,3,483.52,0.3,0.3,1
84,58,Male,0,self_employed,1,10088.96,1640.74,6.91,0
85,33,Male,0,self_employed,2,3537.16,471.97,1386.26,0
86,53,Male,0,salaried,3,12913.08,0.16,4285.87,0
87,19,Female,0,self_employed,1,3144.56,0.01,0.01,0
88,35,Male,0,salaried,3,2870.63,0.29,0.29,0
89,41,Male,0,self_employed,2,3185.72,0.67,0.67,0
90,36,Male,1,self_employed,1,6785.6,0.3,0.91,0
91,30,Male,0,salaried,2,3122.27,0.47,0.47,0
92,29,Female,0,salaried,2,9013.52,0.17,0.17,0
93,74,Male,0,retired,2,2227.37,0.27,0.27,0
94,67,Female,0,salaried,2,20741.22,2780.11,2555.04,0
95,26,Male,0,self_employed,3,1454.24,0.34,1085.49,1
96,32,Female,0,self_employed,3,2429.18,0.14,0.14,1
97,71,Male,0,retired,3,2460.94,0.29,0.29,0
98,56,Female,0,self_employed,2,22437.57,0.39,14643.24,0
99,43,Male,1,self_employed,2,10152.97,11928.66,22783.16,0
100,90,Female,0,self_employed,2,8215.16,0.23,0.23,0
101,48,Male,0,self_employed,2,2617.87,554.89,554.89,0
102,72,Female,0,self_employed,3,503.68,4571.66,40000.23,1
103,75,Male,0,self_employed,2,1555.37,0.6,814.89,1
104,70,Male,1,self_employed,2,8191.35,12291.5,3.27,0
105,43,Male,1,self_employed,3,2859.86,9214.61,5000.33,0
106,39,Female,0,self_employed,3,8125.81,0.01,0.01,0
107,34,Male,0,self_employed,3,2597.77,0.17,0.17,0
108,49,Female,0,self_employed,3,1694.84,0.56,0.56,1
109,38,Male,0,self_employed,3,1792.97,0.33,0.33,1
110,43,Female,0,salaried,3,2488.77,0.66,0.66,0
111,36,Male,0,self_employed,3,9572.43,13.66,29.75,0
112,62,Female,0,self_employed,2,16969.05,41.39,257.7,0
113,54,Male,0,salaried,3,909.84,1544.86,142.97,0
114,39,Male,0,self_employed,2,10864.4,0.01,0.01,0
115,10,Female,0,student,3,107.99,0.57,0.57,1
